team,G,PO,A,TC,E,CI,PB,SBA,CSB,IDP,TP,SBAPct,PO_mean,A_mean,TC_mean,E_mean,CI_mean,PB_mean,SBA_mean,CSB_mean,IDP_mean,TP_mean,SBAPct_mean,fld_pct
Texas,21,549,152,709,8,0,2,6,5,23,0,5.5,2.47,0.68,3.19,0.04,0.0,0.01,0.03,0.02,0.1,0.0,0.02,0.99
Texas A&M,18,455,124,595,16,0,2,6,3,39,0,3.17,2.38,0.65,3.12,0.08,0.0,0.01,0.03,0.02,0.2,0.0,0.02,0.97
Texas Southern,3,75,24,101,2,0,2,1,2,3,0,0.33,2.5,0.8,3.37,0.07,0.0,0.07,0.03,0.07,0.1,0.0,0.01,0.98
Texas St.,56,1428,495,1975,52,0,13,52,10,151,0,25.67,2.38,0.82,3.29,0.09,0.0,0.02,0.09,0.02,0.25,0.0,0.04,0.97
Texas Tech,17,402,136,556,18,0,2,15,7,25,0,6.0,2.27,0.77,3.14,0.1,0.0,0.01,0.08,0.04,0.14,0.0,0.03,0.97
The Citadel,16,398,103,510,9,0,1,18,2,20,0,10.0,2.27,0.59,2.91,0.05,0.0,0.01,0.1,0.01,0.11,0.0,0.06,0.98
Tiffin,1,23,6,30,1,0,1,8,0,0,0,2.0,1.77,0.46,2.31,0.08,0.0,0.08,0.62,0.0,0.0,0.0,0.15,0.97
Toledo,19,455,136,605,14,0,8,54,7,18,0,17.8,2.16,0.64,2.87,0.07,0.0,0.04,0.26,0.03,0.09,0.0,0.08,0.98
Tougaloo,3,60,21,86,5,0,0,17,2,5,0,2.67,1.82,0.64,2.61,0.15,0.0,0.0,0.52,0.06,0.15,0.0,0.08,0.94
Towson,9,233,66,308,9,0,3,24,2,21,0,6.75,2.26,0.64,2.99,0.09,0.0,0.03,0.23,0.02,0.2,0.0,0.07,0.97
Troy,56,1416,426,1880,38,1,12,43,11,111,0,18.97,2.44,0.73,3.24,0.07,0.0,0.02,0.07,0.02,0.19,0.0,0.03,0.98
Tulane,55,1389,402,1840,49,0,11,72,10,109,0,36.92,2.23,0.65,2.96,0.08,0.0,0.02,0.12,0.02,0.18,0.0,0.06,0.97
UAB,30,758,252,1036,26,1,4,43,6,39,0,20.8,2.46,0.82,3.36,0.08,0.0,0.01,0.14,0.02,0.13,0.0,0.07,0.97
UAlbany,2,50,11,66,5,0,0,10,0,9,0,2.0,2.38,0.52,3.14,0.24,0.0,0.0,0.48,0.0,0.43,0.0,0.1,0.92
UC Davis,22,580,182,779,17,0,6,19,14,74,0,8.75,2.42,0.76,3.25,0.07,0.0,0.02,0.08,0.06,0.31,0.0,0.04,0.98
UC Irvine,47,1222,354,1608,32,0,7,28,9,54,0,18.17,2.25,0.65,2.96,0.06,0.0,0.01,0.05,0.02,0.1,0.0,0.03,0.98
UC Riverside,52,1323,424,1808,61,0,9,71,21,82,0,32.7,2.04,0.65,2.78,0.09,0.0,0.01,0.11,0.03,0.13,0.0,0.05,0.97
UC San Diego,20,505,150,679,24,0,2,15,6,31,0,6.08,2.16,0.64,2.9,0.1,0.0,0.01,0.06,0.03,0.13,0.0,0.03,0.96
UC Santa Barbara,26,675,189,888,24,0,4,16,5,39,0,7.5,2.37,0.66,3.12,0.08,0.0,0.01,0.06,0.02,0.14,0.0,0.03,0.97
UCF,51,1317,413,1767,37,0,9,70,13,82,0,34.35,2.38,0.75,3.19,0.07,0.0,0.02,0.13,0.02,0.15,0.0,0.06,0.98
UCLA,16,427,110,550,13,1,0,5,5,18,0,3.0,2.64,0.68,3.4,0.08,0.01,0.0,0.03,0.03,0.11,0.0,0.02,0.98
UConn,8,207,49,261,5,0,2,11,1,13,0,4.8,2.52,0.6,3.18,0.06,0.0,0.02,0.13,0.01,0.16,0.0,0.06,0.98
UIC,15,378,105,503,20,0,1,16,8,15,0,4.61,2.42,0.67,3.22,0.13,0.0,0.01,0.1,0.05,0.1,0.0,0.03,0.96
UIW,7,182,59,243,2,0,1,14,1,13,0,3.5,2.43,0.79,3.24,0.03,0.0,0.01,0.19,0.01,0.17,0.0,0.05,0.99
ULM,48,1211,388,1641,42,0,3,60,18,102,0,27.4,2.38,0.76,3.22,0.08,0.0,0.01,0.12,0.04,0.2,0.0,0.05,0.97
UMBC,1,21,8,29,0,0,0,1,0,3,0,1.0,1.62,0.62,2.23,0.0,0.0,0.0,0.08,0.0,0.23,0.0,0.08,1.0
UMES,7,162,48,227,17,0,2,22,4,6,0,8.16,2.25,0.67,3.15,0.24,0.0,0.03,0.31,0.06,0.08,0.0,0.11,0.93
UMass Lowell,1,27,8,39,4,0,0,1,0,5,0,1.0,2.7,0.8,3.9,0.4,0.0,0.0,0.1,0.0,0.5,0.0,0.1,0.9
UNC Asheville,52,1301,448,1810,61,0,16,76,27,125,0,30.25,2.48,0.85,3.45,0.12,0.0,0.03,0.15,0.05,0.24,0.0,0.06,0.97
UNC Greensboro,14,345,114,470,11,0,8,43,5,33,0,10.25,2.45,0.81,3.33,0.08,0.0,0.06,0.3,0.04,0.23,0.0,0.07,0.98
UNCW,19,483,154,655,18,0,4,23,10,26,0,9.52,2.01,0.64,2.73,0.08,0.0,0.02,0.1,0.04,0.11,0.0,0.04,0.97
UNLV,52,1306,396,1755,53,0,14,115,14,113,0,40.37,2.45,0.74,3.29,0.1,0.0,0.03,0.22,0.03,0.21,0.0,0.08,0.97
USC Upstate,16,413,124,544,7,1,1,27,5,30,0,12.3,2.43,0.73,3.2,0.04,0.01,0.01,0.16,0.03,0.18,0.0,0.07,0.99
UT Arlington,17,432,153,596,11,0,6,15,1,35,0,10.75,2.32,0.82,3.2,0.06,0.0,0.03,0.08,0.01,0.19,0.0,0.06,0.98
UT Martin,13,333,90,446,23,0,6,20,6,7,0,7.52,2.64,0.71,3.54,0.18,0.0,0.05,0.16,0.05,0.06,0.0,0.06,0.95
UTRGV,18,455,146,614,13,0,8,24,8,40,0,10.39,2.24,0.72,3.02,0.06,0.0,0.04,0.12,0.04,0.2,0.0,0.05,0.98
UTSA,14,338,97,450,15,1,1,12,4,32,0,5.75,2.33,0.67,3.1,0.1,0.01,0.01,0.08,0.03,0.22,0.0,0.04,0.97
Utah,50,1277,396,1717,44,0,8,31,11,126,0,20.75,2.45,0.76,3.29,0.08,0.0,0.02,0.06,0.02,0.24,0.0,0.04,0.97
Utah Tech,19,464,165,640,11,0,5,14,9,36,0,8.17,2.03,0.72,2.79,0.05,0.0,0.02,0.06,0.04,0.16,0.0,0.04,0.98
Utah Valley,29,713,231,965,21,0,13,51,8,34,0,21.08,2.29,0.74,3.1,0.07,0.0,0.04,0.16,0.03,0.11,0.0,0.07,0.98
VCU,12,325,92,432,15,0,2,17,4,17,0,6.8,2.71,0.77,3.6,0.12,0.0,0.02,0.14,0.03,0.14,0.0,0.06,0.97
VMI,11,255,71,340,14,0,2,11,3,11,0,5.33,2.41,0.67,3.21,0.13,0.0,0.02,0.1,0.03,0.1,0.0,0.05,0.96
Valparaiso,47,1140,376,1569,53,0,6,56,23,89,0,24.32,2.49,0.82,3.43,0.12,0.0,0.01,0.12,0.05,0.19,0.0,0.05,0.97
Vanderbilt,21,548,168,727,11,0,5,16,4,58,0,7.97,2.31,0.71,3.07,0.05,0.0,0.02,0.07,0.02,0.24,0.0,0.03,0.98
Villanova,10,264,70,347,13,0,0,11,4,22,0,5.83,2.42,0.64,3.18,0.12,0.0,0.0,0.1,0.04,0.2,0.0,0.05,0.96
Virginia,53,1333,378,1765,54,0,12,73,12,68,0,35.13,2.37,0.67,3.13,0.1,0.0,0.02,0.13,0.02,0.12,0.0,0.06,0.97
Virginia Tech,12,302,83,394,9,0,0,12,6,25,0,5.63,2.24,0.61,2.92,0.07,0.0,0.0,0.09,0.04,0.19,0.0,0.04,0.98
Wagner,10,250,78,349,21,0,2,19,5,19,0,7.77,1.77,0.55,2.48,0.15,0.0,0.01,0.13,0.04,0.13,0.0,0.06,0.94
Wake Forest,12,295,75,382,12,0,3,10,2,25,0,6.5,2.32,0.59,3.01,0.09,0.0,0.02,0.08,0.02,0.2,0.0,0.05,0.97
Washburn,1,24,9,34,1,0,0,2,0,5,0,1.0,1.85,0.69,2.62,0.08,0.0,0.0,0.15,0.0,0.38,0.0,0.08,0.97
Washington,28,710,198,927,19,0,2,29,8,37,0,14.17,2.42,0.68,3.16,0.06,0.0,0.01,0.1,0.03,0.13,0.0,0.05,0.98
Washington St.,28,696,265,989,28,1,5,21,11,80,0,8.67,2.2,0.84,3.13,0.09,0.0,0.02,0.07,0.03,0.25,0.0,0.03,0.97
West Chester,1,27,9,36,0,0,0,2,0,0,0,1.0,2.25,0.75,3.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.08,1.0
West Ga.,25,618,182,826,26,0,6,57,4,30,0,23.83,2.15,0.63,2.88,0.09,0.0,0.02,0.2,0.01,0.1,0.0,0.08,0.97
West Virginia,13,341,108,456,7,0,2,6,2,32,0,6.0,2.32,0.73,3.1,0.05,0.0,0.01,0.04,0.01,0.22,0.0,0.04,0.98
Westcliff,1,29,7,38,2,0,1,5,0,5,0,2.0,1.93,0.47,2.53,0.13,0.0,0.07,0.33,0.0,0.33,0.0,0.13,0.95
Western Caro.,13,341,116,466,9,0,1,10,5,29,0,5.25,2.54,0.87,3.48,0.07,0.0,0.01,0.07,0.04,0.22,0.0,0.04,0.98
Western Ill.,24,633,200,858,25,0,1,62,8,21,0,21.0,2.56,0.81,3.47,0.1,0.0,0.0,0.25,0.03,0.09,0.0,0.09,0.97
Western Ky.,23,602,183,802,17,0,3,20,5,38,0,12.0,2.31,0.7,3.07,0.07,0.0,0.01,0.08,0.02,0.15,0.0,0.05,0.98
Western Mich.,24,584,182,781,15,0,0,41,5,49,0,16.0,2.16,0.67,2.89,0.06,0.0,0.0,0.15,0.02,0.18,0.0,0.06,0.98
Wichita St.,55,1374,405,1845,66,1,10,65,18,79,0,25.64,2.13,0.63,2.86,0.1,0.0,0.02,0.1,0.03,0.12,0.0,0.04,0.96
William & Mary,1,24,7,32,1,0,0,2,0,5,0,1.0,2.4,0.7,3.2,0.1,0.0,0.0,0.2,0.0,0.5,0.0,0.1,0.97
Winthrop,13,322,92,425,11,0,3,17,6,31,0,9.17,2.21,0.63,2.91,0.08,0.0,0.02,0.12,0.04,0.21,0.0,0.06,0.97
Wofford,53,1324,361,1728,43,0,8,40,7,60,0,25.08,2.1,0.57,2.74,0.07,0.0,0.01,0.06,0.01,0.1,0.0,0.04,0.98
Wright St.,13,328,96,433,9,1,3,16,3,26,0,8.08,2.56,0.75,3.38,0.07,0.01,0.02,0.12,0.02,0.2,0.0,0.06,0.98
Xavier,16,402,105,524,17,0,0,7,6,31,0,4.0,2.28,0.6,2.98,0.1,0.0,0.0,0.04,0.03,0.18,0.0,0.02,0.97
Yale,7,183,60,249,6,0,3,9,2,14,0,4.25,2.61,0.86,3.56,0.09,0.0,0.04,0.13,0.03,0.2,0.0,0.06,0.98
Youngstown St.,20,476,156,660,28,0,4,48,9,32,0,14.11,2.19,0.72,3.04,0.13,0.0,0.02,0.22,0.04,0.15,0.0,0.07,0.96
