team,G,PO,A,TC,E,CI,PB,SBA,CSB,IDP,TP,SBAPct,PO_mean,A_mean,TC_mean,E_mean,CI_mean,PB_mean,SBA_mean,CSB_mean,IDP_mean,TP_mean,SBAPct_mean,fld_pct
Memphis,54,1395,394,1835,46,1,8,71,12,81,0,29.04,2.27,0.64,2.98,0.07,0.0,0.01,0.12,0.02,0.13,0.0,0.05,0.97
Mercer,55,1372,380,1801,49,0,4,54,16,105,0,23.02,2.09,0.58,2.75,0.07,0.0,0.01,0.08,0.02,0.16,0.0,0.04,0.97
Mercyhurst,3,53,17,73,3,0,3,21,4,5,0,2.52,1.77,0.57,2.43,0.1,0.0,0.1,0.7,0.13,0.17,0.0,0.08,0.96
Merrimack,14,355,135,500,10,0,2,40,8,32,0,12.84,2.47,0.94,3.47,0.07,0.0,0.01,0.28,0.06,0.22,0.0,0.09,0.98
Miami (FL),7,187,58,254,9,0,0,7,1,8,0,3.5,2.37,0.73,3.22,0.11,0.0,0.0,0.09,0.01,0.1,0.0,0.04,0.96
Miami (OH),15,380,124,513,9,0,6,17,6,21,0,8.42,2.42,0.79,3.27,0.06,0.0,0.04,0.11,0.04,0.13,0.0,0.05,0.98
Michigan,50,1288,401,1727,38,0,2,29,16,93,0,17.75,1.97,0.61,2.64,0.06,0.0,0.0,0.04,0.02,0.14,0.0,0.03,0.98
Michigan St.,53,1347,436,1830,47,0,2,67,11,91,0,25.86,2.53,0.82,3.44,0.09,0.0,0.0,0.13,0.02,0.17,0.0,0.05,0.97
Middle Tenn.,20,496,145,660,19,1,6,24,9,33,0,9.93,2.68,0.78,3.57,0.1,0.01,0.03,0.13,0.05,0.18,0.0,0.05,0.97
Milwaukee,50,1201,381,1646,64,0,11,69,16,91,0,28.29,2.31,0.73,3.16,0.12,0.0,0.02,0.13,0.03,0.17,0.0,0.05,0.96
Minnesota,51,1289,395,1711,27,1,4,46,8,116,0,24.17,2.49,0.76,3.3,0.05,0.0,0.01,0.09,0.02,0.22,0.0,0.05,0.98
Mississippi St.,52,1319,352,1706,35,2,13,40,11,60,0,21.17,2.17,0.58,2.8,0.06,0.0,0.02,0.07,0.02,0.1,0.0,0.03,0.98
Mississippi Val.,10,250,84,343,9,0,2,29,6,15,0,7.33,1.92,0.65,2.64,0.07,0.0,0.02,0.22,0.05,0.12,0.0,0.06,0.97
Missouri,23,580,158,754,16,0,0,29,8,32,0,10.58,2.36,0.64,3.07,0.07,0.0,0.0,0.12,0.03,0.13,0.0,0.04,0.98
Missouri St.,50,1277,430,1744,37,0,3,45,13,100,0,25.0,2.28,0.77,3.11,0.07,0.0,0.01,0.08,0.02,0.18,0.0,0.04,0.98
Mo.-St. Louis,1,24,12,36,0,0,1,3,1,0,0,0.75,2.18,1.09,3.27,0.0,0.0,0.09,0.27,0.09,0.0,0.0,0.07,1.0
Monmouth,2,46,14,61,1,0,0,7,0,3,0,2.0,2.09,0.64,2.77,0.05,0.0,0.0,0.32,0.0,0.14,0.0,0.09,0.98
Morehead St.,10,260,84,351,7,0,1,5,5,14,0,4.0,2.68,0.87,3.62,0.07,0.0,0.01,0.05,0.05,0.14,0.0,0.04,0.98
Mount St. Mary's,42,1070,317,1432,45,0,9,51,12,71,0,23.08,2.12,0.63,2.84,0.09,0.0,0.02,0.1,0.02,0.14,0.0,0.05,0.97
Murray St.,21,518,155,691,18,0,6,33,12,18,0,11.77,2.39,0.71,3.18,0.08,0.0,0.03,0.15,0.06,0.08,0.0,0.05,0.97
N.C. A&T,4,97,31,135,7,0,1,12,2,4,0,3.0,2.49,0.79,3.46,0.18,0.0,0.03,0.31,0.05,0.1,0.0,0.08,0.95
NC State,35,874,235,1133,24,0,4,38,9,44,0,21.97,2.17,0.58,2.81,0.06,0.0,0.01,0.09,0.02,0.11,0.0,0.05,0.98
NIU,12,314,94,420,12,0,1,11,5,14,0,5.25,2.57,0.77,3.44,0.1,0.0,0.01,0.09,0.04,0.11,0.0,0.04,0.97
NJIT,1,25,2,27,0,0,0,1,0,2,0,1.0,2.08,0.17,2.25,0.0,0.0,0.0,0.08,0.0,0.17,0.0,0.08,1.0
Navy,1,24,6,30,0,0,1,1,2,0,0,0.33,2.0,0.5,2.5,0.0,0.0,0.08,0.08,0.17,0.0,0.0,0.03,1.0
Nebraska,27,687,214,914,13,1,3,19,5,55,0,11.75,2.31,0.72,3.08,0.04,0.0,0.01,0.06,0.02,0.19,0.0,0.04,0.99
Nevada,15,369,131,512,12,0,1,10,5,42,0,5.0,2.51,0.89,3.48,0.08,0.0,0.01,0.07,0.03,0.29,0.0,0.03,0.98
New Haven,37,883,266,1194,45,0,5,99,12,46,0,25.48,2.2,0.66,2.98,0.11,0.0,0.01,0.25,0.03,0.11,0.0,0.06,0.96
New Mexico,17,432,131,575,12,0,6,8,5,49,0,4.67,2.27,0.69,3.03,0.06,0.0,0.03,0.04,0.03,0.26,0.0,0.02,0.98
New Mexico St.,54,1347,414,1820,59,1,6,71,22,108,0,29.55,2.44,0.75,3.29,0.11,0.0,0.01,0.13,0.04,0.2,0.0,0.05,0.97
New Orleans,25,621,227,865,17,0,4,27,12,63,0,12.67,2.34,0.86,3.26,0.06,0.0,0.02,0.1,0.05,0.24,0.0,0.05,0.98
Niagara,9,240,71,321,10,0,3,24,3,15,0,7.52,2.73,0.81,3.65,0.11,0.0,0.03,0.27,0.03,0.17,0.0,0.09,0.97
Nicholls,15,362,114,499,23,2,2,24,4,21,0,10.05,2.05,0.64,2.82,0.13,0.01,0.01,0.14,0.02,0.12,0.0,0.06,0.95
Norfolk St.,5,129,55,196,12,0,3,18,5,10,0,3.64,2.43,1.04,3.7,0.23,0.0,0.06,0.34,0.09,0.19,0.0,0.07,0.94
