team_id,team
614729,Samford (SoCon)
614731,San Diego (WCC)
614730,San Diego St. (Mountain West)
614732,San Francisco (WCC)
614733,San Jose St. (Mountain West)
614734,Santa Clara (WCC)
614833,Seattle U (WCC)
614735,Seton Hall (Big East)
614736,Siena (MAAC)
614737,South Alabama (Sun Belt)
614738,South Carolina (SEC)
614739,South Dakota St. (Summit League)
614740,South Fla. (American)
614779,Southeast Mo. St. (OVC)
614741,Southeastern La. (Southland)
614742,Southern California (Big Ten)
614743,Southern Ill. (MVC)
614758,Southern Ind. (OVC)
614780,Southern Miss. (Sun Belt)
614745,Southern U. (SWAC)
614723,St. Bonaventure (Atlantic 10)
614778,St. John's (NY) (Big East)
614785,St. Thomas (MN) (Summit League)
614749,Stanford (ACC)
614781,Stetson (ASUN)
614759,Stonehill (NEC)
614751,Stony Brook (CAA)
614789,TCU (Big 12)
614761,Tarleton St. (WAC)
614782,Tennessee (SEC)
614752,Tennessee Tech (OVC)
614793,Texas (SEC)
614788,Texas A&M (SEC)
614790,Texas Southern (SWAC)
614747,Texas St. (Sun Belt)
614791,Texas Tech (Big 12)
614583,The Citadel (SoCon)
614795,Toledo (MAC)
614796,Towson (CAA)
614797,Troy (Sun Belt)
614762,Tulane (American)
614849,UAB (American)
614850,UAlbany (America East)
614573,UC Davis (Big West)
614574,UC Irvine (Big West)
614576,UC Riverside (Big West)
614755,UC San Diego (Big West)
614571,UC Santa Barbara (Big West)
614580,UCF (Big 12)
614575,UCLA (Big Ten)
614587,UConn (Big East)
614625,UIC (MVC)
614836,UIW (Southland)
614691,ULM (Sun Belt)
614653,UMBC (America East)
614655,UMES (NEC)
614647,UMass Lowell (America East)
614674,UNC Asheville (Big South)
614677,UNC Greensboro (SoCon)
614678,UNCW (CAA)
614680,UNLV (Mountain West)
614837,USC Upstate (Big South)
614792,UT Arlington (WAC)
614753,UT Martin (OVC)
614707,UTRGV (Southland)
614794,UTSA (American)
614800,Utah (Big 12)
614786,Utah Tech (WAC)
614842,Utah Valley (WAC)
614804,VCU (Atlantic 10)
614805,VMI (SoCon)
614801,Valparaiso (MVC)
614802,Vanderbilt (SEC)
614803,Villanova (Big East)
614807,Virginia (ACC)
614806,Virginia Tech (ACC)
614808,Wagner (NEC)
614809,Wake Forest (ACC)
614811,Washington (Big Ten)
614810,Washington St. (Mountain West)
614812,West Virginia (Big 12)
614813,Western Caro. (SoCon)
614814,Western Ill. (OVC)
614815,Western Ky. (CUSA)
614816,Western Mich. (MAC)
614817,Wichita St. (American)
614818,William & Mary (CAA)
614819,Winthrop (Big South)
614765,Wofford (SoCon)
614821,Wright St. (Horizon)
614822,Xavier (Big East)
614823,Yale (Ivy League)
614824,Youngstown St. (Horizon)
