game_id,team,App,R,IP,AB,CG,H,H,2B,R,ER,PO,3B,TB,BB,SO,HR,RBI,SHO,BB,BF,TC,A,HBP,P-OAB,SF,2B-A,SH,3B-A,Bk,K,HR-A,OPP DP,CS,WP,Picked,HB,IBB,SB,Inh Run,Inh Run Score,IBB,SHA,SFA,Pitches,GDP,GO,FO,W,E,L,RBI2out,SV,KL,CI,PB,SBA,CSB,ADV,IDP,TP,RFC,RERR,RCI,CSO,LOB,pickoffs,OrdAppeared,,opponent,home,date
6437824,UC Irvine,0.0,5.0,9.0,36.0,0.0,1.0,7.0,2.0,0.0,0.0,27.0,0.0,12.0,3.0,16.0,1.0,5.0,1.0,2.0,31.0,32.0,5.0,3.0,28.0,0.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,9.0,0.0,0.0,,Sacramento St.,False,2026-02-13
6437824,Sacramento St.,0.0,0.0,9.0,28.0,0.0,7.0,1.0,1.0,5.0,5.0,27.0,0.0,2.0,2.0,12.0,0.0,0.0,0.0,3.0,41.0,38.0,9.0,0.0,36.0,0.0,2.0,0.0,0.0,0.0,16.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,,UC Irvine,True,2026-02-13
6437827,San Diego St.,0.0,2.0,8.0,32.0,0.0,10.0,6.0,0.0,5.0,5.0,24.0,1.0,8.0,1.0,12.0,0.0,2.0,0.0,2.0,37.0,28.0,4.0,2.0,33.0,0.0,0.0,0.0,2.0,0.0,11.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,,UC Irvine,False,2026-02-18
6437827,UC Irvine,0.0,5.0,9.0,33.0,0.0,6.0,10.0,0.0,2.0,2.0,27.0,2.0,14.0,2.0,11.0,0.0,4.0,0.0,1.0,36.0,34.0,7.0,2.0,32.0,1.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,,San Diego St.,True,2026-02-18
6437828,California,0.0,3.0,8.0,31.0,0.0,9.0,7.0,3.0,5.0,2.0,24.0,1.0,12.0,3.0,10.0,0.0,3.0,0.0,0.0,37.0,33.0,8.0,1.0,33.0,1.0,3.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,,UC Irvine,False,2026-02-20
6437828,UC Irvine,0.0,5.0,9.0,33.0,0.0,7.0,9.0,3.0,3.0,3.0,27.0,0.0,12.0,0.0,9.0,0.0,5.0,0.0,3.0,33.0,37.0,10.0,0.0,31.0,1.0,3.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,9.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,1.0,0.0,0.0,8.0,0.0,0.0,,California,True,2026-02-20
6437829,California,0.0,11.0,9.0,38.0,0.0,4.0,15.0,2.0,2.0,2.0,27.0,1.0,28.0,4.0,8.0,3.0,10.0,0.0,3.0,36.0,37.0,10.0,3.0,31.0,1.0,1.0,1.0,0.0,0.0,7.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,9.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,,UC Irvine,False,2026-02-21
6437829,UC Irvine,0.0,2.0,9.0,31.0,0.0,15.0,4.0,1.0,11.0,10.0,27.0,0.0,5.0,3.0,7.0,0.0,2.0,0.0,4.0,46.0,40.0,12.0,1.0,38.0,0.0,2.0,0.0,1.0,0.0,8.0,3.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,10.0,9.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,,California,True,2026-02-21
6437830,California,0.0,4.0,9.0,31.0,0.0,8.0,6.0,1.0,2.0,2.0,27.0,0.0,7.0,6.0,12.0,0.0,3.0,0.0,2.0,41.0,34.0,6.0,2.0,32.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,5.0,9.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,,UC Irvine,False,2026-02-22
6437830,UC Irvine,0.0,2.0,9.0,32.0,0.0,6.0,8.0,0.0,4.0,3.0,27.0,1.0,10.0,2.0,7.0,0.0,2.0,0.0,6.0,35.0,40.0,12.0,1.0,31.0,1.0,1.0,1.0,0.0,0.0,12.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,10.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,,California,True,2026-02-22
